nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;PAULISTA;ROUND 1;2024;20.01.2024;Bragantino;Agua Santa;0;0;0;1;1.36;4.52;8.0;1.81;https://www.flashscore.com/match/S2xwsQIM/#/
BRAZIL;PAULISTA;ROUND 1;2024;20.01.2024;Botafogo SP;Santos;0;0;0;1;3.07;3.17;2.26;2.16;https://www.flashscore.com/match/pKtIol4i/#/
BRAZIL;PAULISTA;ROUND 1;2024;20.01.2024;Sao Paulo;Santo Andre;3;1;3;1;1.32;4.74;8.92;1.75;https://www.flashscore.com/match/pKI9y4tp/#/
BRAZIL;PAULISTA;ROUND 1;2024;20.01.2024;Ponte Preta;Mirassol;1;1;1;1;3.17;3.16;2.22;2.22;https://www.flashscore.com/match/lCwZs63G/#/
BRAZIL;PAULISTA;ROUND 1;2024;21.01.2024;Sao Bernardo;Ituano;1;0;2;0;2.28;3.06;3.16;2.35;https://www.flashscore.com/match/ARRstpYS/#/
BRAZIL;PAULISTA;ROUND 1;2024;21.01.2024;Novorizontino;Palmeiras;0;0;1;1;5.67;3.86;1.55;2.01;https://www.flashscore.com/match/KxZUrnlA/#/
BRAZIL;PAULISTA;ROUND 1;2024;21.01.2024;Inter de Limeira;Portuguesa;1;1;2;3;2.49;3.03;2.9;2.4;https://www.flashscore.com/match/tnzRqSY3/#/
BRAZIL;PAULISTA;ROUND 1;2024;21.01.2024;Corinthians;Guarani;1;0;1;0;1.53;3.91;5.81;1.95;https://www.flashscore.com/match/bNpMp8Jc/#/
BRAZIL;PAULISTA;ROUND 2;2024;23.01.2024;Mirassol;Sao Paulo;1;1;1;1;4.12;3.37;1.85;2.16;https://www.flashscore.com/match/fk00bRmc/#/
BRAZIL;PAULISTA;ROUND 2;2024;23.01.2024;Agua Santa;Botafogo SP;0;0;0;1;1.96;3.17;3.89;2.58;https://www.flashscore.com/match/2LjLg32S/#/
BRAZIL;PAULISTA;ROUND 2;2024;24.01.2024;Portuguesa;Bragantino;0;2;1;2;4.78;3.32;1.75;2.2;https://www.flashscore.com/match/S2b8d5I9/#/
BRAZIL;PAULISTA;ROUND 2;2024;24.01.2024;Ituano;Corinthians;0;0;1;0;3.85;3.18;1.96;2.29;https://www.flashscore.com/match/IXGHZsBd/#/
BRAZIL;PAULISTA;ROUND 2;2024;24.01.2024;Guarani;Sao Bernardo;0;0;0;0;2.29;3.03;3.12;2.49;https://www.flashscore.com/match/vsIDzOej/#/
BRAZIL;PAULISTA;ROUND 2;2024;24.01.2024;Palmeiras;Inter de Limeira;2;1;3;2;1.13;7.04;16.12;1.54;https://www.flashscore.com/match/Yua4co33/#/
BRAZIL;PAULISTA;ROUND 2;2024;25.01.2024;Santos;Ponte Preta;2;0;3;1;1.38;4.19;8.29;2.06;https://www.flashscore.com/match/OUiHfqmM/#/
BRAZIL;PAULISTA;ROUND 2;2024;25.01.2024;Santo Andre;Novorizontino;0;0;0;0;3.47;2.92;2.2;2.57;https://www.flashscore.com/match/t62CePXF/#/
